SEQUENCIA,NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,IN_TREINEIRO,TP_SEXO,TP_NACIONALIDADE,TP_ESCOLA,TP_ENSINO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,Q024,Q025
2086,190001413756,Poço Redondo,17,1,3,0,F,1,3,1,1,27217639,Piranhas,AL,Poço Redondo,SE,"438,2","521,1","512,2","396,2",620,"497,54",B,B
2087,190001416230,Igreja Nova,18,1,3,0,F,1,2,1,0,27044866,Igreja Nova,AL,Penedo,AL,"486,8","441,7",516,"414,5",660,"503,8",B,B
2088,190001416234,Satuba,19,1,1,0,F,1,2,1,1,27041158,Satuba,AL,Pilar,AL,"438,9","427,1","379,4",449,540,"446,88",A,B
2089,190001416235,Limoeiro de Anadia,18,1,3,0,M,1,2,1,0,27020274,Limoeiro de Anadia,AL,Arapiraca,AL,453,475,"473,7","486,6",560,"489,66",A,B
2090,190001416246,Coruripe,17,1,1,0,M,1,2,1,1,27042251,Coruripe,AL,Coruripe,AL,"439,4",394,"374,2","567,3",520,"458,98",B,B
2091,190001416254,Arapiraca,18,1,3,0,F,1,2,1,1,27016510,Arapiraca,AL,Arapiraca,AL,"439,4",542,"501,8","598,2",720,"560,28",B,B
2092,190001416257,Pilar,17,1,3,0,F,1,2,1,0,27039668,Pilar,AL,Pilar,AL,"467,4","549,3","518,7","549,2",760,"568,92",A,B
2093,190001416262,Teotônio Vilela,17,1,3,0,M,1,2,1,1,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"542,7",542,"549,6","753,7",840,"645,6",B,B
2094,190001416270,Arapiraca,17,1,3,0,M,1,3,1,1,27049035,Arapiraca,AL,Arapiraca,AL,"497,9","462,5",490,"523,7",480,"490,82",B,B
2095,190001416271,Maceió,18,1,1,0,M,1,3,1,1,27223361,Maceió,AL,Maceió,AL,"615,5","628,2","597,9","743,6",780,"673,04",B,B
2096,190001416279,Coruripe,19,1,2,0,F,1,2,1,1,27037223,Maceió,AL,Coruripe,AL,"526,2","572,8","575,5","465,9",680,"564,08",B,B
2097,190001416281,Taquarana,18,1,3,0,M,1,2,1,0,27020819,Taquarana,AL,Arapiraca,AL,"541,8","548,7","547,1","595,1",720,"590,54",A,A
2098,190001416283,Limoeiro de Anadia,17,1,3,0,F,1,2,1,1,27020274,Limoeiro de Anadia,AL,Campo Alegre,AL,"398,6","464,5","507,2","445,7",560,"475,2",A,B
2099,190001416285,Roteiro,16,1,1,0,F,1,2,1,1,27043690,São Miguel dos Campos,AL,São Miguel dos Campos,AL,"472,1","528,5",565,"586,1",740,"578,34",B,B
2100,190001416287,Maceió,16,1,3,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"426,5","401,4","457,8","490,3",0,"355,2",A,B
2101,190001416289,Jequiá da Praia,18,1,3,0,F,1,2,1,0,27050572,Coruripe,AL,Coruripe,AL,"503,3","571,7","548,7","616,4",940,"636,02",A,A
2102,190001416290,Maceió,17,1,1,0,F,1,2,1,0,27037223,Maceió,AL,Maceió,AL,"389,2","511,8","501,5","458,8",660,"504,26",A,A
2103,190001416301,Rio Largo,17,1,3,0,F,1,2,1,0,27040240,Rio Largo,AL,Rio Largo,AL,"489,4","441,1","473,1","424,9",640,"493,7",B,B
2104,190001416302,Maceió,18,1,3,0,F,1,2,1,1,27036677,Maceió,AL,Maceió,AL,"369,8",417,"469,3","393,9",420,414,A,B
2105,190001416315,Igreja Nova,18,1,3,0,F,1,2,1,0,27044866,Igreja Nova,AL,Penedo,AL,"387,7","370,9","389,1","442,2",460,"409,98",A,B
2106,190001416316,Maceió,17,1,2,0,M,1,2,1,1,27036022,Maceió,AL,Maceió,AL,"388,7","535,1","532,8","460,5",680,"519,42",A,B
2107,190001416324,Monteirópolis,17,1,3,0,F,1,2,1,1,27050556,Batalha,AL,Olho d'Água das Flores,AL,"438,1","504,9","523,6","423,4",640,506,B,B
2108,190001416327,Santana do Ipanema,21,1,3,0,F,1,2,1,1,27007090,Santana do Ipanema,AL,Santana do Ipanema,AL,"387,9","426,5","431,4","359,7",240,"369,1",A,A
2109,190001416329,Passo de Camaragibe,18,1,3,0,F,1,2,1,1,27033210,Passo de Camaragibe,AL,São Luís do Quitunde,AL,"364,2","391,3",495,"443,3",580,"454,76",A,B
2110,190001416333,Arapiraca,18,1,3,0,F,1,2,1,0,27016471,Arapiraca,AL,Arapiraca,AL,"379,8","446,3","501,8","508,2",520,"471,22",A,B
2111,190001416335,Batalha,17,1,3,0,F,1,2,1,1,27226131,Batalha,AL,Batalha,AL,"412,5","473,9","537,6",384,620,"485,6",A,A
2112,190001416337,Olho d'Água das Flores,18,1,3,0,M,1,2,1,1,27011100,Olho d'Água das Flores,AL,Olho d'Água das Flores,AL,"345,3","530,8","500,3","612,5",720,"541,78",B,B
2113,190001416346,Campo Alegre,18,1,1,0,M,1,2,1,0,27041921,Campo Alegre,AL,Campo Alegre,AL,"532,9","615,6","550,2","608,2",720,"605,38",B,A
2114,190001416349,Maceió,18,1,1,0,F,1,3,1,0,27215512,Maceió,AL,Maceió,AL,"594,7","632,5","624,1","755,2",920,"705,3",B,B
2115,190001416356,Craíbas,18,1,3,0,F,1,2,1,1,27018016,Craíbas,AL,Arapiraca,AL,"389,5","428,1",478,"459,1",0,"350,94",A,A
2116,190001416358,Penedo,18,1,1,0,F,1,2,1,0,27047830,Penedo,AL,Penedo,AL,"587,5","556,6","572,1","622,8",600,"587,8",A,B
2117,190001416368,Maceió,18,1,1,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"431,4","418,8","480,5","426,4",600,"471,42",A,B
2118,190001416374,Maceió,18,1,2,0,M,1,2,1,0,27036987,Maceió,AL,Maceió,AL,"433,2","515,7","504,7","536,1",500,"497,94",B,B
2119,190001416375,Taquarana,18,0,2,0,F,1,2,1,0,27020819,Taquarana,AL,Arapiraca,AL,"397,7","466,6",383,"429,4",640,"463,34",A,B
2120,190001416379,Maceió,19,1,3,0,F,1,3,1,1,27040917,Rio Largo,AL,Maceió,AL,"475,4","381,5","484,3","523,7",600,"492,98",B,B
2121,190001416389,Taquarana,18,1,1,0,F,1,2,1,0,27020819,Taquarana,AL,Arapiraca,AL,"388,9","371,7","436,9","416,7",480,"418,84",A,B
2122,190001416401,Olho d'Água das Flores,17,1,3,0,M,1,2,1,1,27011100,Olho d'Água das Flores,AL,Olho d'Água das Flores,AL,"434,8","513,6","508,7","371,3",640,"493,68",A,B
2123,190001416407,Maceió,18,1,1,0,M,1,2,1,0,27216608,Maceió,AL,Maceió,AL,"571,1","552,2","560,9","481,7",460,"525,18",A,B
2124,190001416414,Maceió,17,0,3,0,M,1,2,1,1,27225968,Maceió,AL,Maceió,AL,"481,8","460,1","420,1","383,9",360,"421,18",A,B
2125,190001416416,Maceió,18,1,2,0,F,1,2,1,0,27036987,Maceió,AL,Maceió,AL,"386,7","348,6","403,8","433,1",280,"370,44",A,B
2126,190001416420,Maceió,18,1,3,0,F,1,2,1,1,27036022,Maceió,AL,Maceió,AL,"390,7",454,"461,9","516,5",600,"484,62",B,B
2127,190001416426,Arapiraca,19,1,3,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"584,7","567,5","603,6","653,7",820,"645,9",B,B
2128,190001416428,Maceió,20,1,1,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"365,9","480,6","507,9","360,7",500,"443,02",A,A
2129,190001416430,Campo Alegre,16,3,3,0,F,1,2,1,0,27041921,Campo Alegre,AL,Campo Alegre,AL,"451,4","530,3",558,"428,3",760,"545,6",A,B
2130,190001416437,Teotônio Vilela,18,1,3,0,F,1,2,1,1,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"440,2","402,6","477,9","429,6",600,"470,06",B,B
2131,190001416445,Rio Largo,19,1,3,0,M,1,2,1,0,27037223,Maceió,AL,Rio Largo,AL,546,"621,5","604,7","701,3",940,"682,7",A,B
2132,190001416452,Maceió,17,1,3,0,F,1,2,1,0,27037053,Maceió,AL,Maceió,AL,427,"491,7","520,8","397,3",620,"491,36",B,B
2133,190001416453,Maceió,17,1,0,0,F,1,2,1,0,27036677,Maceió,AL,Maceió,AL,"470,1","441,2","391,6","381,3",540,"444,84",A,A
2134,190001416462,Teotônio Vilela,16,1,3,0,M,1,2,1,1,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"373,6","443,8","433,1","404,9",560,"443,08",A,A
2135,190001416472,São José da Laje,18,1,1,0,M,1,2,1,0,27023583,São José da Laje,AL,União dos Palmares,AL,"489,1",563,561,"588,3",480,"536,28",A,B
2136,190001416474,Rio Largo,17,1,3,0,F,1,2,1,1,27040348,Rio Largo,AL,Rio Largo,AL,"464,6","537,9","537,7","434,4",740,"542,92",A,B
2137,190001416476,Maceió,18,1,2,0,F,1,2,1,0,27038734,Maceió,AL,Maceió,AL,"401,2","419,7","474,9","363,8",600,"451,92",A,B
2138,190001416479,Arapiraca,17,1,1,0,M,1,2,1,1,27016480,Arapiraca,AL,Arapiraca,AL,543,"495,8","507,7","376,2",0,"384,54",B,B
2139,190001416481,Ibateguara,18,1,3,0,F,1,2,1,0,27022838,Ibateguara,AL,União dos Palmares,AL,"431,8","499,9",431,"363,9",420,"429,32",A,A
2140,190001416497,Penedo,18,1,3,0,F,2,2,1,1,27045145,Penedo,AL,Penedo,AL,"574,7","593,1","594,4","597,2",880,"647,88",B,A
2141,190001416506,Pão de Açúcar,18,1,3,0,M,1,2,1,0,27011100,Olho d'Água das Flores,AL,Olho d'Água das Flores,AL,"440,1","479,5","522,3","491,6",680,"522,7",A,B
2142,190001416512,Maceió,17,1,3,0,F,1,3,1,0,27215512,Maceió,AL,Maceió,AL,"456,1","455,8","502,6","587,3",940,"588,36",C,B
2143,190001416514,Arapiraca,18,1,3,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"584,2","638,1","626,6","699,9",920,"693,76",B,B
2144,190001416520,Maceió,17,1,1,0,F,1,2,1,0,27037223,Maceió,AL,Maceió,AL,"596,3","617,7","647,5","691,8",820,"674,66",D,B
2145,190001416525,Barra de São Miguel,20,1,3,0,F,1,2,1,0,27034070,Barra de São Miguel,AL,São Miguel dos Campos,AL,"368,8","472,7","463,9","381,7",460,"429,42",A,B
2146,190001416527,Craíbas,17,1,3,0,F,1,2,1,1,27018016,Craíbas,AL,Arapiraca,AL,"466,5","494,1","495,1","535,8",620,"522,3",A,B
2147,190001416534,Delmiro Gouveia,17,1,1,0,F,1,2,1,0,27047628,Piranhas,AL,Delmiro Gouveia,AL,"590,8","618,4","598,8",678,940,"685,2",C,B
2148,190001416539,Delmiro Gouveia,20,1,3,0,F,1,2,1,0,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"352,2","364,6","454,1","416,5",0,"317,48",A,A
2149,190001416543,Maceió,19,1,1,0,F,1,3,1,0,27047334,Maceió,AL,Maceió,AL,"511,3","507,3","568,4","554,3",660,"560,26",A,B
2150,190001416549,Anadia,20,2,3,0,M,1,2,1,1,27041212,Anadia,AL,Boca da Mata,AL,"398,9","455,6","476,7","488,7",660,"495,98",A,A
2151,190001416555,Maceió,22,1,2,0,M,2,2,1,0,27036553,Maceió,AL,Maceió,AL,"468,4","499,9","537,9","629,1",580,"543,06",A,B
2152,190001416561,Maceió,18,1,3,0,F,1,3,1,1,27047334,Maceió,AL,Maceió,AL,"464,4","511,6","536,2",427,560,"499,84",B,B
2153,190001416565,Anadia,17,1,3,0,F,1,2,1,0,27041212,Anadia,AL,Boca da Mata,AL,"541,5","474,5","527,2","385,5",560,"497,74",A,A
2154,190001416566,Maceió,27,1,3,0,F,1,2,1,1,27036561,Maceió,AL,Maceió,AL,"469,9",508,"398,7","420,3",440,"447,38",A,A
2155,190001416572,União dos Palmares,17,0,1,0,M,1,2,1,1,27024016,União dos Palmares,AL,União dos Palmares,AL,"386,6",495,"515,9",452,320,"433,9",A,A
2156,190001416587,Barra de São Miguel,17,1,0,0,M,2,2,1,0,27034070,Barra de São Miguel,AL,São Miguel dos Campos,AL,"462,9","406,1","450,4","401,8",360,"416,24",A,A
2157,190001416590,Arapiraca,17,1,3,0,M,1,3,1,0,27214869,Arapiraca,AL,Arapiraca,AL,"587,4","607,5",621,"750,1",920,"697,2",A,B
2158,190001416611,Arapiraca,17,1,3,0,F,1,2,1,1,27016510,Arapiraca,AL,Arapiraca,AL,"439,3","520,5","595,4",533,440,"505,64",B,B
2159,190001416612,Maceió,18,1,3,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"389,1","583,1","519,5","478,5",620,"518,04",A,A
2160,190001416613,Arapiraca,17,1,3,0,F,2,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,451,"388,5","481,5","610,5",560,"498,3",B,B
2161,190001416614,Maceió,17,1,3,0,F,1,2,1,0,27034852,Maceió,AL,Maceió,AL,"394,8","527,8","551,9","467,1",680,"524,32",A,A
2162,190001416626,São Sebastião,18,1,1,0,F,1,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,556,"611,8",547,"514,7",640,"573,9",A,B
2163,190001416630,Santana do Ipanema,19,1,3,0,F,1,2,1,0,27047580,Santana do Ipanema,AL,Santana do Ipanema,AL,"503,9","467,8","505,1","399,1",600,"495,18",A,B
2164,190001416635,Campo Alegre,19,1,3,0,M,1,2,1,0,27041921,Campo Alegre,AL,Campo Alegre,AL,"565,6","462,8","577,8","686,1",560,"570,46",D,B
2165,190001416644,Palmeira dos Índios,18,1,3,0,M,1,2,1,1,27215830,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"505,8","486,6","572,2","594,5",600,"551,82",A,B
2166,190001416653,Maceió,19,1,3,0,M,1,2,1,0,27034836,Maceió,AL,Maceió,AL,407,"476,3","534,4","549,5",300,"453,44",B,B
2167,190001416661,Delmiro Gouveia,17,1,1,0,F,1,2,1,1,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"522,8","551,5","537,3","529,5",580,"544,22",A,A
2168,190001416662,Inhapi,17,1,4,0,F,1,2,1,0,27001750,Inhapi,AL,Delmiro Gouveia,AL,"525,8",434,"562,9","364,4",580,"493,42",A,A
2169,190001416669,Maceió,17,1,1,0,F,1,3,1,0,27218244,Maceió,AL,Maceió,AL,"602,5","644,2",653,"645,6",840,"677,06",B,B
2170,190001416671,Palmeira dos Índios,18,1,0,0,F,1,3,2,1,27014053,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"542,3","478,4",500,"529,9",800,"570,12",A,B
2171,190001416674,Maceió,18,1,3,0,F,1,2,1,0,27220044,Maceió,AL,Maceió,AL,"513,4","595,7","598,8","443,6",660,"562,3",B,B
2172,190001416676,Marechal Deodoro,17,1,3,0,M,1,2,1,1,27354024,Marechal Deodoro,AL,Marechal Deodoro,AL,"380,8","436,2","425,2","436,4",660,"467,72",A,A
2173,190001416679,Capela,18,1,1,0,F,1,2,1,1,27027457,Capela,AL,Viçosa,AL,"577,9","587,4","591,2","604,2",620,"596,14",A,A
2174,190001416687,Rio Largo,17,1,3,0,F,1,2,1,0,27040348,Rio Largo,AL,Rio Largo,AL,"401,6","370,9",455,"395,1",440,"412,52",A,B
2175,190001416703,Maceió,19,0,2,0,F,1,2,1,0,27038734,Maceió,AL,Maceió,AL,"426,8","483,7","496,1","449,7",540,"479,26",A,B
2176,190001416707,São Miguel dos Campos,17,1,1,0,M,1,2,1,1,27043622,São Miguel dos Campos,AL,São Miguel dos Campos,AL,"482,3","518,2","549,7","623,5",780,"590,74",A,B
2177,190001416710,Coruripe,18,1,3,0,F,1,2,1,1,27050572,Coruripe,AL,Coruripe,AL,"467,6",471,"554,8","630,7",800,"584,82",B,B
2178,190001416711,Monteirópolis,18,1,1,0,F,1,2,1,0,27010767,Monteirópolis,AL,Olho d'Água das Flores,AL,"384,4",470,"436,5","517,1",640,"489,6",A,A
2179,190001416715,Santana do Ipanema,18,1,2,0,M,1,2,1,1,27038556,Maceió,AL,Santana do Ipanema,AL,"408,8","418,5","475,7","464,8",560,"465,56",B,B
2180,190001416716,Girau do Ponciano,17,1,3,0,F,1,2,1,0,27220087,Girau do Ponciano,AL,Girau do Ponciano,AL,"360,5","403,9","499,6","430,5",640,"466,9",A,B
2181,190001416719,Maceió,17,1,1,0,F,1,3,1,0,27225909,Maceió,AL,Maceió,AL,"545,7","619,5","595,2","632,9",820,"642,66",C,B
2182,190001416729,Arapiraca,18,1,1,0,F,1,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,416,"405,5",341,"576,3",440,"435,76",B,B
2183,190001416741,Taquarana,17,1,3,0,F,1,2,1,0,27020819,Taquarana,AL,Arapiraca,AL,"474,8","554,3","516,3","416,6",600,"512,4",A,A
2184,190001416744,Santa Luzia do Norte,17,1,3,0,F,1,2,1,0,27040984,Santa Luzia do Norte,AL,Pilar,AL,"521,9","538,5","582,2","615,5",720,"595,62",A,B
2185,190001416750,Maceió,18,1,3,0,M,1,2,1,1,27220044,Maceió,AL,Maceió,AL,"515,6","524,9","570,2","626,4",700,"587,42",B,B
2186,190001416767,Maceió,18,1,1,0,M,1,3,1,0,27034976,Maceió,AL,Maceió,AL,"653,9","588,3","584,3","700,9",800,"665,48",B,B
2187,190001416772,Palmeira dos Índios,18,1,1,0,F,1,2,1,1,27215830,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"560,1","579,7","592,6","652,9",680,"613,06",A,B
2188,190001416774,São Luís do Quitunde,20,1,2,0,F,1,2,1,0,27047750,Maragogi,AL,São Luís do Quitunde,AL,"436,8",411,"483,1","411,8",540,"456,54",A,A
2189,190001416779,Barra de Santo Antônio,18,1,0,0,F,1,2,1,1,27034003,Barra de Santo Antônio,AL,São Luís do Quitunde,AL,"432,6","396,3","365,9","440,8",0,"327,12",A,B
2190,190001416785,Rio Largo,17,1,1,0,F,1,2,1,1,27040348,Rio Largo,AL,Rio Largo,AL,"447,8","546,1","517,4","406,2",480,"479,5",A,B
2191,190001416833,Piranhas,18,1,3,0,F,1,2,1,0,27047628,Piranhas,AL,Canindé de São Francisco,SE,572,"577,5","580,5","541,9",880,"630,38",A,B
2192,190001417166,Piranhas,18,1,1,0,M,1,2,1,0,27047628,Piranhas,AL,Canindé de São Francisco,SE,"419,7","577,5","486,1","629,3",700,"562,52",A,B
2193,190001417707,Piranhas,19,1,1,0,F,1,2,1,0,27047628,Piranhas,AL,Canindé de São Francisco,SE,"572,8","599,2","610,5",685,780,"649,5",B,B
2194,190001417807,Canindé de São Francisco,18,1,3,0,F,1,2,1,1,27047628,Piranhas,AL,Canindé de São Francisco,SE,"469,3","556,4","563,3","400,2",900,"577,84",B,B
2195,190001419914,Junqueiro,17,1,3,0,F,1,2,1,0,27043436,Junqueiro,AL,Teotônio Vilela,AL,"423,3","567,5","574,1","591,5",920,"615,28",A,B
2196,190001419917,Teotônio Vilela,17,1,1,0,F,2,2,1,0,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,386,"520,8","517,5","582,8",760,"553,42",A,B
2197,190001419921,Arapiraca,19,1,3,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"458,9",558,"557,5","693,5",800,"613,58",B,B
2198,190001419926,Maceió,18,1,1,0,F,1,3,1,0,27220885,Maceió,AL,Maceió,AL,"607,8","639,1","638,3",734,960,"715,84",C,B
2199,190001419927,São Miguel dos Campos,22,1,1,0,M,1,2,1,1,27043690,São Miguel dos Campos,AL,São Miguel dos Campos,AL,"426,6",599,"529,1","651,4",540,"549,22",B,B
2200,190001419928,Igaci,19,1,2,0,M,1,2,1,0,27014010,Palmeira dos Índios,AL,Igaci,AL,"433,4","410,7","486,1","410,3",560,"460,1",A,B
2201,190001419929,Maceió,17,1,1,0,F,1,3,1,0,27220885,Maceió,AL,Maceió,AL,"417,4","578,7","574,2",429,760,"551,86",B,B
2202,190001419932,Maceió,17,1,1,0,M,1,2,1,0,27226930,Maceió,AL,Maceió,AL,"454,2",541,"574,8","514,4",660,"548,88",B,B
2203,190001419942,Campo Alegre,18,1,3,0,F,1,2,1,0,27041921,Campo Alegre,AL,Campo Alegre,AL,"572,9","547,7","578,5","597,1",920,"643,24",A,A
2204,190001419954,São Miguel dos Campos,17,1,1,0,M,1,2,1,0,27043622,São Miguel dos Campos,AL,São Miguel dos Campos,AL,"482,9","587,6","589,9","724,5",760,"628,98",B,B
2205,190001419955,Maceió,17,1,3,0,F,1,2,1,0,27226271,Maceió,AL,Maceió,AL,399,"455,6","499,6","520,7",0,"374,98",B,B
2206,190001419956,Maceió,18,1,3,0,F,1,2,1,1,27036022,Maceió,AL,Maceió,AL,"400,3","425,2","517,9","436,2",600,"475,92",A,A
2207,190001419961,Rio Largo,18,1,3,0,M,1,2,1,0,27037223,Maceió,AL,Rio Largo,AL,"591,7","670,6","610,7","807,2",960,"728,04",B,B
2208,190001419968,Delmiro Gouveia,17,1,2,0,F,1,2,1,0,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"556,7","618,9","550,2","462,6",860,"609,68",B,B
2209,190001419969,Maceió,17,1,1,0,F,1,3,1,1,27225984,Maceió,AL,Maceió,AL,"349,5","373,4","532,7","400,7",0,"331,26",B,B
2210,190001419970,Pilar,18,1,3,0,F,2,2,1,1,27041042,Satuba,AL,Pilar,AL,"432,7",386,"384,3",444,320,"393,4",A,B
2211,190001419971,Quebrangulo,19,1,3,0,M,1,2,1,1,27215830,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"552,2","538,8","567,3","650,7",780,"617,8",B,B
2212,190001419973,Cajueiro,18,1,3,0,M,1,2,1,0,27026744,Cajueiro,AL,Viçosa,AL,"395,9","404,1","405,2","490,5",660,"471,14",A,A
2213,190001419975,Maceió,17,1,3,0,M,1,2,1,0,27226271,Maceió,AL,Maceió,AL,"532,5","574,2",569,"714,7",780,"634,08",C,B
2214,190001419979,Maceió,19,1,3,0,F,1,2,1,0,27037010,Maceió,AL,Maceió,AL,"457,7","376,8","534,6","418,5",320,"421,52",A,B
2215,190001419990,Limoeiro de Anadia,18,1,3,0,F,1,2,1,0,27020274,Limoeiro de Anadia,AL,Campo Alegre,AL,"487,3","415,4","399,1","384,8",0,"337,32",A,A
2216,190001419997,São Miguel dos Campos,18,1,3,0,M,1,2,1,0,27037223,Maceió,AL,São Miguel dos Campos,AL,"521,1",584,"561,9","602,5",540,"561,9",B,B
2217,190001420004,Rio Largo,18,1,3,0,M,1,2,1,1,27040348,Rio Largo,AL,Rio Largo,AL,"446,2","423,3","380,8","556,8",540,"469,42",A,B
2218,190001420006,Maceió,18,1,2,0,F,1,2,1,0,27034836,Maceió,AL,Maceió,AL,"374,3","356,5","481,3","514,8",640,"473,38",A,A
2219,190001420009,Maceió,17,1,3,0,F,1,2,1,1,27037053,Maceió,AL,Maceió,AL,"470,5",510,"499,1","488,3",780,"549,58",B,B
2220,190001420016,Maceió,17,1,3,0,F,1,2,1,1,27046362,Maceió,AL,Maceió,AL,"434,4","522,5","531,6","523,4",760,"554,38",A,A
2221,190001420025,Maceió,18,1,3,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"488,7","574,5","497,9","403,1",600,"512,84",A,B
2222,190001420029,Maceió,21,1,3,0,F,1,2,1,0,27037223,Maceió,AL,Maceió,AL,"424,6","587,4","562,4","416,9",720,"542,26",B,B
2223,190001420030,Maceió,18,1,3,0,M,1,2,1,0,27038629,Maceió,AL,Maceió,AL,"459,7","555,5","467,4",602,960,"608,92",A,A
2224,190001420031,Girau do Ponciano,16,1,3,0,M,1,2,1,1,27018997,Girau do Ponciano,AL,Girau do Ponciano,AL,"403,8","432,8","445,9","388,2",640,"462,14",A,B
2225,190001420041,Marechal Deodoro,18,1,1,0,F,1,2,1,0,27354024,Marechal Deodoro,AL,Marechal Deodoro,AL,"407,3","454,7","470,3","400,7",640,"474,6",A,B
2226,190001420047,Igaci,17,1,1,0,M,1,2,1,0,27013901,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"559,2","549,3","481,3","649,2",940,"635,8",B,B
2227,190001420053,Santana do Ipanema,18,1,3,0,F,1,2,1,0,27225259,Santana do Ipanema,AL,Santana do Ipanema,AL,"483,9","556,7","536,8","554,4",640,"554,36",B,B
2228,190001420060,Atalaia,17,1,3,0,F,2,2,1,1,27026337,Atalaia,AL,Atalaia,AL,"458,1","528,1","551,1","495,5",700,"546,56",B,A
2229,190001420062,Maceió,17,1,3,0,F,1,2,1,0,27220044,Maceió,AL,Maceió,AL,478,"480,9","547,6","452,9",900,"571,88",A,B
2230,190001420063,Maceió,19,3,2,0,M,1,2,1,0,27041042,Satuba,AL,Maceió,AL,"550,4","519,8","578,7","401,4",680,"546,06",A,B
2231,190001420081,Coruripe,18,1,3,0,F,1,2,1,1,27042251,Coruripe,AL,Coruripe,AL,"500,8","514,5","466,1","387,8",860,"545,84",A,B
2232,190001420087,Paripueira,18,1,1,0,M,1,2,1,1,27039560,Paripueira,AL,São Luís do Quitunde,AL,"384,5","491,1","520,7","480,7",840,"543,4",A,B
2233,190001420090,Maceió,19,1,0,0,F,1,2,1,0,27036987,Maceió,AL,Maceió,AL,"427,2",375,516,"478,4",600,"479,32",A,B
2234,190001420098,Maceió,17,1,3,0,F,1,3,1,0,27046443,Maceió,AL,Maceió,AL,"497,5","522,4","509,4","518,6",560,"521,58",B,B
2235,190001420099,Taquarana,18,1,2,0,M,1,2,1,0,27020819,Taquarana,AL,Arapiraca,AL,"364,5","475,8","459,9","475,8",520,"459,2",A,A
2236,190001420104,Ibateguara,18,1,1,0,F,1,2,1,0,27022838,Ibateguara,AL,União dos Palmares,AL,"360,7","445,6","513,1",505,640,"492,88",B,B
2237,190001420105,Maceió,18,1,3,0,F,1,2,1,1,27226930,Maceió,AL,Maceió,AL,"404,6","475,1","525,9","419,6",780,"521,04",B,B
2238,190001420111,Canapi,17,1,3,0,M,1,2,1,1,27001237,Canapi,AL,Santana do Ipanema,AL,"532,4","575,4","557,8","411,4",640,"543,4",A,A
2239,190001420112,Maceió,18,1,4,0,M,1,2,1,1,27235807,Maceió,AL,Maceió,AL,"506,8","363,8",554,"435,8",0,"372,08",A,B
2240,190001420124,Arapiraca,17,1,3,0,M,1,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,"539,4","555,7","532,8","597,1",700,585,B,B
2241,190001420125,Rio Largo,17,1,3,0,F,1,2,1,1,27040240,Rio Largo,AL,Rio Largo,AL,"463,9","383,3","511,5","403,8",520,"456,5",B,B
2242,190001420127,São Luís do Quitunde,19,1,3,0,M,1,2,1,0,27224759,São Luís do Quitunde,AL,São Luís do Quitunde,AL,"340,4","460,4",456,447,420,"424,76",A,B
2243,190001420137,Arapiraca,18,1,1,0,M,1,2,1,0,27016420,Arapiraca,AL,Arapiraca,AL,"434,9","555,8","552,2","564,6",600,"541,5",B,B
2244,190001420140,Maceió,17,1,2,0,F,1,2,1,1,27035948,Maceió,AL,Maceió,AL,"440,7","468,7","537,6",442,600,"497,8",B,B
2245,190001420141,Penedo,16,1,3,0,F,0,2,1,0,27226328,Coruripe,AL,Coruripe,AL,"478,2","518,1","549,9","461,5",580,"517,54",B,B
2246,190001420143,Girau do Ponciano,17,1,3,0,F,2,2,1,1,27018962,Girau do Ponciano,AL,Girau do Ponciano,AL,"362,7","455,7","504,7","529,2",340,"438,46",A,B
2247,190001420145,Delmiro Gouveia,17,1,3,0,F,1,2,1,0,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,420,"472,9","525,2",558,720,"539,22",B,B
