SEQUENCIA,NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,IN_TREINEIRO,TP_SEXO,TP_NACIONALIDADE,TP_ESCOLA,TP_ENSINO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,Q024,Q025
5854,190002913711,Craíbas,18,1,3,0,M,1,2,1,1,27018016,Craíbas,AL,Arapiraca,AL,"424,4","514,4","535,8","426,2",620,"504,16",B,B
5855,190002914028,Piranhas,18,1,3,0,F,1,2,1,0,27004376,Piranhas,AL,Canindé de São Francisco,SE,"404,3","424,1","489,8","445,3",620,"476,7",A,B
5856,190002916745,Maceió,18,1,3,0,M,1,3,1,0,27220885,Maceió,AL,Maceió,AL,"593,6","608,3","569,6","788,8",760,"664,06",B,B
5857,190002916762,Maceió,17,1,3,0,M,1,3,1,0,27220885,Maceió,AL,Maceió,AL,"688,9","670,3",615,"866,4",940,"756,12",A,B
5858,190002916766,Maceió,17,1,3,0,F,1,2,1,1,27342018,Maceió,AL,Maceió,AL,"556,1","565,9","553,7","646,6",660,"596,46",B,B
5859,190002916776,Maceió,17,1,1,0,M,1,3,1,0,27215032,Maceió,AL,Maceió,AL,"503,5","512,8","537,9","608,4",680,"568,52",A,A
5860,190002916779,Arapiraca,19,1,1,0,M,1,2,1,0,27016447,Arapiraca,AL,Arapiraca,AL,"574,5","569,3","593,8","653,5",600,"598,22",B,B
5861,190002916781,Olho d'Água das Flores,18,1,0,0,F,1,2,1,1,27011100,Olho d'Água das Flores,AL,Olho d'Água das Flores,AL,"453,6","464,7","483,5",400,280,"416,36",A,B
5862,190002916782,Maceió,18,1,1,0,M,1,2,1,0,27226689,Maceió,AL,Maceió,AL,"599,1","603,6","605,3","638,9",640,"617,38",B,B
5863,190002916786,Água Branca,17,1,3,0,F,1,2,1,0,27000095,Água Branca,AL,Água Branca,AL,"491,2","518,6","543,2","576,8",640,"553,96",A,B
